Mass-to-Charge,Count
-0.997335,0
-0.977335,0
-0.957335,0
-0.937335,0
-0.917335,0
-0.897335,0
-0.877335,0
-0.857335,0
-0.837335,0
-0.817335,0
-0.797335,0
-0.777335,0
-0.757335,0
-0.737335,0
-0.717335,0
-0.697335,0
-0.677335,0
-0.657335,0
-0.637335,0
-0.617335,0
-0.597335,0
-0.577335,0
-0.557335,0
-0.537335,0
-0.517335,0
-0.497335,0
-0.477335,0
-0.457335,0
-0.437335,0
-0.417335,0
-0.397335,0
-0.377335,0
-0.357335,0
-0.337335,0
-0.317335,0
-0.297335,0
-0.277335,0
-0.257335,0
-0.237335,0
-0.217335,0
-0.197335,0
-0.177335,0
-0.157335,0
-0.137335,0
-0.117335,0
-0.0973355,0
-0.0773355,0
-0.0573354,0
-0.0373355,0
-0.0173355,0
0.00266457,161
0.0226645,101
0.0426645,65
0.0626645,55
0.0826645,54
0.102665,50
0.122665,56
0.142665,59
0.162665,35
0.182665,39
0.202664,41
0.222665,41
0.242665,37
0.262665,34
0.282665,30
0.302665,34
0.322664,40
0.342664,35
0.362665,25
0.382665,33
0.402665,28
0.422665,24
0.442665,29
0.462664,19
0.482665,30
0.502665,31
0.522665,26
0.542665,26
0.562665,25
0.582664,26
0.602664,26
0.622665,29
0.642665,16
0.662665,28
0.682665,23
0.702664,27
0.722664,21
0.742665,24
0.762665,20
0.782665,24
0.802665,23
0.822664,26
0.842664,17
0.862665,19
0.882665,27
0.902665,19
0.922665,18
0.942665,17
0.962664,23
0.982664,26
1.00266,15301
1.02266,418
1.04266,201
1.06266,123
1.08266,108
1.10266,77
1.12266,61
1.14266,64
1.16266,48
1.18266,49
1.20266,36
1.22266,29
1.24266,48
1.26266,37
1.28266,39
1.30266,33
1.32266,31
1.34266,29
1.36266,25
1.38266,26
1.40266,25
1.42266,32
1.44266,32
1.46266,27
1.48266,28
1.50266,21
1.52266,29
1.54266,25
1.56266,30
1.58266,19
1.60266,22
1.62266,31
1.64266,28
1.66266,25
1.68266,26
1.70266,17
1.72266,19
1.74266,19
1.76266,23
1.78266,28
1.80266,28
1.82266,9
1.84266,21
1.86266,18
1.88266,16
1.90266,19
1.92266,21
1.94266,23
1.96266,11
1.98266,15
2.00266,4287
2.02266,293
2.04266,122
2.06266,82
2.08266,48
2.10266,51
2.12266,45
2.14266,36
2.16266,27
2.18266,17
2.20266,20
2.22266,17
2.24266,21
2.26266,26
2.28266,14
2.30266,23
2.32266,23
2.34266,20
2.36266,15
2.38266,26
2.40266,20
2.42266,22
2.44266,19
2.46266,18
2.48266,19
2.50266,18
2.52266,18
2.54266,12
2.56266,17
2.58266,23
2.60266,18
2.62266,19
2.64266,13
2.66266,15
2.68266,12
2.70266,20
