ORIGIN_SHIFT,RESOLUTION,AVG_COUNT
0.1,1.5,1
0.3,1.5,1
0.5,1.5,1
0.7,1.5,1
0.9,1.5,1
1.1,1.5,1
1.3,1.5,1
1.5,1.5,1
1.6,1.5,1
0.1,1.75,1.01832
0.3,1.75,1.02163
0.5,1.75,1.01966
0.7,1.75,1.01961
0.9,1.75,1.01938
1.1,1.75,1.01611
1.3,1.75,1.01837
1.5,1.75,1.01655
1.7,1.75,1.01817
1.85,1.75,1.01832
0,2,1.12181
0.1,2,1.11815
0.3,2,1.13642
0.5,2,1.11084
0.7,2,1.13383
0.9,2,1.10897
1.1,2,1.12609
1.3,2,1.0995
1.5,2,1.12407
1.7,2,1.12212
1.9,2,1.12405
2.1,2,1.11815
0,3,2.1471
0.5,3,2.19687
1,3,2.17025
1.5,3,2.11886
2,3,2.10614
3,3,2.1471
0,5,8.84854
0.5,5,8.87026
1,5,8.85884
1.5,5,8.79576
2,5,8.79683
3,5,8.82854
4,5,8.80863
5,5,8.84854
0,10,63.4747
1,10,63.7829
2,10,64.094
3,10,64.4082
4,10,63.7829
5,10,59.1859
6,10,59.1859
7,10,58.9205
8,10,59.724
9,10,58.9205
10,10,63.4747
1,20,401.478
2,20,401.478
3,20,408.282
4,20,401.478
5,20,394.896
6,20,394.896
7,20,394.896
8,20,401.478
9,20,394.896
10,20,388.527
11,20,394.896
12,20,401.478
13,20,394.896
14,20,394.896
14.2,20,394.896
14.5,20,394.896
14.7,20,394.896
14.9,20,394.896
15,20,349.111
16,20,349.111
17,20,349.111
18,20,349.111
19,20,344.124
20,20,401.478
21,20,401.478
22,20,401.478
