ORIGIN_SHIFT,RESOLUTION,AVG_COUNT
0.1,1.5,1
0.3,1.5,1
0.5,1.5,1
0.7,1.5,1
0.9,1.5,1
1.1,1.5,1
1.3,1.5,1
1.5,1.5,1
1.6,1.5,1
0.1,1.75,1.01835
0.3,1.75,1.01885
0.5,1.75,1.0185
0.7,1.75,1.0192
0.9,1.75,1.01868
1.1,1.75,1.01832
1.3,1.75,1.01787
1.5,1.75,1.01702
1.7,1.75,1.01751
1.85,1.75,1.01835
0,2,1.13022
0.1,2,1.13014
0.3,2,1.12616
0.5,2,1.12425
0.7,2,1.11792
0.9,2,1.11795
1.1,2,1.12508
1.3,2,1.12507
1.5,2,1.12759
1.7,2,1.12538
1.9,2,1.12605
2.1,2,1.13014
0,3,2.23205
0.5,3,2.2274
1,3,2.20078
1.5,3,2.19966
2,3,2.19824
3,3,2.232
0,5,9.87313
0.5,5,9.8733
1,5,9.6586
1.5,5,9.53058
2,5,9.52914
3,5,9.52029
4,5,9.51979
5,5,9.87159
0,10,74.5968
1,10,74.5432
2,10,74.4884
3,10,74.5432
4,10,74.5432
5,10,74.6532
6,10,71.3847
7,10,69.2941
8,10,69.4429
9,10,69.5425
10,10,74.5432
0,20,551.194
2,20,552.774
3,20,549.642
5,20,551.203
7,20,520.17
9,20,520.17
12,20,517.396
13,20,520.17
15,20,520.17
17,20,478.874
19,20,481.448
